time,x,y,z
29349,-0.81478,0.13783,0.99376
29398,-0.91557,-0.32704,1.72375
29449,0.29455,0.22702,1.49712
29498,-0.26989,0.31865,1.53499
29549,-0.04631,-0.61292,2.01880
29598,-0.72498,-0.31421,0.80256
29648,-0.35969,-0.40278,1.14770
29699,0.19620,-0.04054,0.12023
29749,-1.08967,-0.47731,-0.35747
29798,-0.38290,-0.38262,0.45681
29849,-1.07745,-0.24579,0.00294
29900,-1.36089,-0.65202,0.02310
29958,-1.04752,0.40050,0.46781
29998,-1.05057,0.43593,0.46842
30048,-1.17947,-0.46753,-0.40695
30098,-1.13976,-0.42722,-0.39473
30149,-1.11288,-0.37468,-0.55906
30200,-1.11288,0.31682,-0.73743
30249,-1.66449,-1.05519,-0.40573
30299,-1.30042,-0.31421,-0.38679
30348,-1.38166,0.83544,-0.08380
30400,-1.84409,-0.91102,0.12817
30449,-1.87097,-0.94829,0.14772
30500,-2.32789,-1.17308,0.73170
30548,-1.74085,0.00283,0.00416
30599,-1.34196,0.04193,-0.38007
30649,-0.86854,-0.66362,-0.29027
30698,-0.20330,-0.15783,-0.44605
30749,-0.24301,-0.55611,0.14955
30798,-0.14466,-1.09978,0.82272
30849,0.36602,-0.94340,0.69016
30898,0.44910,-0.77969,0.50935
30957,-0.69811,-0.68867,2.30712
30998,-1.13487,-1.81327,3.15745
31049,-0.91985,-1.55121,2.78849
31098,-0.77874,-1.03564,1.93511
31149,-1.10800,-0.09430,2.79582
31199,-2.91677,-1.05152,2.84652
31248,-2.04812,-1.06130,2.76711
31298,-0.77202,0.42311,1.43481
31349,-0.59487,0.49152,2.09821
31399,-1.15992,-0.00389,2.78360
31448,-1.57042,0.46465,2.89111
31499,-0.43299,0.12867,3.03039
31548,-0.12389,0.50985,1.83309
31599,-0.47209,0.35225,1.17092
31648,-1.35173,-0.22197,0.88259
31699,-0.03409,-1.14132,0.45987
31748,-0.38962,-0.68195,-1.44359
31799,-0.23202,0.29238,-0.64763
31849,0.27745,-0.41805,-0.75942
31898,0.11373,-0.44249,-1.30126
31949,-0.92413,-0.72349,-1.42343
32006,-0.84349,-1.10650,-1.13144
32049,-1.18313,-1.27510,-1.16870
32099,-1.10616,-0.45348,-1.18825
32148,-0.95284,-0.52251,-1.20169
32199,-1.46047,0.70288,-0.51691
32249,-0.37923,0.18487,-1.41610
32299,-1.00720,-0.25373,-0.77652
32348,-0.92657,0.10668,-0.36236
32399,-0.43971,1.00587,-0.33120
32448,-0.50019,0.34553,-0.25423
32499,-0.03104,0.24290,0.12634
32549,-0.10679,1.15004,-0.16688
32598,-0.14161,0.61125,-0.19803
32648,0.24690,0.48480,0.08296
32699,0.34037,0.58071,-0.23774
32748,0.76919,0.29116,0.01027
32799,0.47598,0.37974,0.61930
