time,x,y,z
21048,-9.17486,-5.09262,6.52919
21098,-9.25866,-5.13333,6.82368
21148,-7.54915,-3.64169,6.16047
21199,-6.65848,-2.48047,5.81330
21248,-7.65689,-3.35917,6.14850
21299,-7.21874,-3.56268,5.21952
21349,-6.98171,-3.39269,4.91784
21398,-9.82371,-2.86116,5.68161
21448,-9.93145,-2.60976,8.68643
21499,-8.09983,-2.21231,5.48768
21548,-8.61221,-2.54272,8.46137
21599,-9.70400,-4.59701,5.86597
21648,-7.76463,-4.95615,5.85879
21699,-9.26105,-3.71831,5.58105
21750,-7.49647,-1.27615,6.20835
21799,-5.75584,1.29770,2.99284
21850,-7.36239,2.51159,1.80528
21899,-6.27061,0.46688,2.15245
21960,-3.67761,0.74223,3.42860
21999,-4.87474,1.16122,2.70074
22050,-5.66485,3.05749,2.03034
22099,-7.74548,4.52279,4.72869
22150,-4.85798,0.45731,2.37991
22198,-10.47495,-0.96010,7.44859
22249,-6.77340,-0.30647,7.14212
22298,-7.47493,-0.83800,5.45176
22348,-8.40151,-3.60099,4.38392
22399,-9.26584,-1.46769,6.85720
22448,-5.79893,-2.65046,5.25304
22499,-8.37757,-1.89627,6.56271
22548,-5.78457,-2.93778,7.82210
22599,-4.89390,-3.74943,6.01921
22649,-8.80854,-3.80929,7.28338
22699,-9.03599,-2.66243,7.50605
22748,-10.01765,-2.70553,9.49569
22798,-10.92268,-1.96570,9.52443
22848,-9.57949,-1.89148,7.65689
22899,-9.65611,-1.70472,7.67126
22970,-5.59063,-1.02714,8.19321
22998,-5.38951,-1.51318,6.64890
23048,-6.45736,-3.06946,5.20276
23098,-5.53317,-2.19794,5.34163
23148,-7.10860,-1.89866,6.90030
23198,-7.72633,-1.73345,7.66168
23249,-8.70319,-3.36635,8.75107
23299,-10.45580,-4.29533,7.37676
23349,-8.36081,-4.08703,6.38314
23398,-7.75745,-5.56669,5.68401
23448,-7.68562,-4.02956,5.88513
23498,-7.47971,-3.20833,6.17723
23549,-6.95776,-1.80049,5.56429
23598,-7.28578,-1.78373,4.03435
23649,-8.18842,-0.63927,4.78376
23698,-8.07589,0.90743,4.07266
23748,-11.32253,2.16442,3.63930
23798,-11.55716,2.35836,3.06228
23848,-8.11420,2.62891,4.85080
23899,-1.29051,1.46051,6.74228
23966,-8.20039,0.89785,3.63930
23998,-9.77343,-0.09817,3.87154
24049,-4.07745,-3.31368,4.35279
24098,-9.45260,-3.58184,7.61858
24148,-5.57387,-2.56906,3.94337
24199,-8.19321,-5.19558,5.48528
24248,-6.00484,-4.44138,6.10540
24299,-7.26902,-2.06386,6.58665
24349,-11.20521,-2.66004,8.82530
24398,-9.22275,-6.65130,9.37359
24449,-10.78621,-5.82766,5.92104
24498,-7.80534,-4.46293,7.43183
24549,-7.48450,-4.67362,7.25465
24598,-5.71274,-4.28336,5.75823
24649,-6.54116,-3.20593,5.07347
24699,-6.94579,-3.24664,5.36796
24750,-7.70478,-3.27537,5.38472
24799,-6.69918,-3.61536,5.26740
24849,-8.61221,-3.83802,6.33046
24899,-8.19321,-3.96492,6.10061
24953,-10.77903,-4.13012,7.87477
24998,-9.20359,-4.30730,9.04796
25048,-7.43183,-6.43102,6.51243
25098,-9.55316,-4.79813,6.78298
25150,-7.02241,-6.29215,5.94977
25199,-8.84924,-5.20755,5.47331
25249,-7.23550,-2.32245,6.00724
25299,-5.32966,-0.41900,5.75105
25348,-7.53718,0.24900,6.46454
25398,-5.45176,0.50998,5.45655
25448,-5.17163,0.75420,5.35360
25499,-5.66246,1.82683,4.69996
25549,-6.96255,2.98087,6.00005
25599,-6.80213,1.43178,4.67841
25650,-8.82051,1.86035,5.12854
25699,-5.31529,3.13650,5.94259
25749,-8.13814,3.27776,5.27219
25798,-2.77496,2.72229,3.91225
25848,-7.82449,1.93457,4.11336
25898,-2.55469,2.15485,6.07906
25953,-4.38631,-1.25221,2.22428
25998,-4.83644,-1.35755,2.01119
26049,-4.60658,-4.12294,6.39032
26099,-10.48932,-5.09741,8.41827
26149,-8.52362,-3.86436,7.04156
26198,-8.08786,-4.58264,7.65450
26249,-10.80536,-5.09741,8.60023
26298,-8.40869,-4.28096,8.48770
26349,-7.93942,-4.47490,7.64013
26399,-8.34644,-3.42621,7.48690
26449,-7.79815,-3.04073,6.36398
26499,-7.39831,-3.47888,5.92822
26549,-7.23550,-0.97926,8.11420
26599,-7.53478,-3.00242,6.29215
26649,-6.68721,-1.96570,7.57309
26699,-6.96255,-1.71670,7.00325
26749,-8.88994,-4.38871,8.57869
26798,-9.36161,-5.15727,5.98329
26848,-9.89314,-4.82686,6.39990
26898,-6.72791,-5.13093,5.52838
26953,-6.67524,-3.91703,4.80770
26998,-7.63774,-2.05668,6.28018
27048,-7.94660,-1.85556,6.84523
27098,-7.39831,-2.52357,3.54832
27148,-7.98491,-1.41980,5.30332
27198,-7.53239,0.41182,6.46454
27248,-7.28817,0.38069,6.36159
27298,-8.28180,0.31365,6.15568
27348,-9.59625,-1.49403,4.33603
27398,-10.46777,-1.38150,5.48768
27449,-7.65929,0.02394,6.90269
27498,-7.52281,1.37910,6.18441
27549,-3.49564,1.51558,4.33603
27599,-7.68562,2.26738,3.79253
27648,-5.06389,2.01119,2.43977
27699,-6.67045,1.95373,2.25780
27749,-5.54275,2.34639,5.84682
27798,-5.46852,1.19474,3.65606
27849,-5.95456,0.37590,5.92104
27899,-6.59862,-1.14686,6.10061
27960,-6.59144,-2.78454,7.88914
27999,-6.25624,-3.63690,7.36958
