time,x,y,z
24953,10.68000,31.26000,-33.78000
24998,9.36000,30.84000,-33.18000
25049,10.62000,31.20000,-33.96000
25098,8.82000,28.80000,-36.30000
25150,10.50000,27.24000,-37.08000
25199,12.06000,24.90000,-38.64000
25249,12.84000,21.54000,-40.44000
25299,14.16000,19.38000,-41.04000
25348,16.26000,17.16000,-41.58000
25398,17.10000,14.70000,-42.00000
25448,17.88000,12.36000,-42.24000
25499,19.38000,10.44000,-43.38000
25549,20.34000,8.94000,-42.18000
25599,22.08000,6.18000,-43.02000
25650,22.92000,3.90000,-42.72000
25699,23.46000,1.38000,-42.78000
25749,22.26000,0.72000,-44.04000
25798,21.66000,-0.90000,-43.38000
25849,21.30000,-1.98000,-43.86000
25899,21.30000,-0.90000,-44.76000
25953,20.40000,-0.42000,-44.28000
25998,20.40000,-0.42000,-44.28000
26049,18.18000,2.88000,-44.70000
26099,15.96000,5.40000,-45.00000
26149,15.24000,6.66000,-45.00000
26198,14.52000,8.52000,-44.70000
26249,12.48000,10.92000,-45.00000
26299,11.16000,13.98000,-44.16000
26349,9.72000,15.60000,-43.74000
26399,9.30000,18.60000,-42.96000
26449,9.42000,19.92000,-42.12000
26499,9.84000,21.12000,-42.00000
26549,9.96000,22.32000,-41.40000
26599,11.76000,22.44000,-40.50000
26649,13.86000,21.96000,-39.78000
26699,14.76000,22.02000,-39.42000
26749,15.30000,21.96000,-39.78000
26798,15.00000,19.68000,-40.92000
26849,14.22000,19.98000,-41.46000
26898,14.52000,19.68000,-42.06000
26953,14.58000,19.20000,-41.46000
26998,14.94000,20.10000,-40.86000
27049,13.56000,19.92000,-41.10000
27098,13.98000,18.24000,-42.42000
27148,14.34000,17.10000,-42.30000
27198,16.56000,15.84000,-42.96000
27248,16.56000,14.10000,-42.42000
27298,18.18000,10.80000,-42.72000
27348,18.36000,7.44000,-43.62000
27398,18.78000,4.02000,-44.58000
27449,19.92000,1.44000,-44.88000
27498,19.92000,0.24000,-43.56000
27549,20.76000,-3.84000,-44.04000
27599,22.44000,-5.88000,-43.02000
27648,23.46000,-8.46000,-42.06000
27699,21.90000,-9.54000,-43.20000
27749,19.98000,-9.48000,-43.20000
